Label,char_count,word_count,title_word_count,stopword_count,upper_case,subjectivity,polarity,noun_count,conjuction_count,adjective_count,pronoun_count,adverb_count,prepositions_count,verb_count
Fake,1460,257,11,43,130,0.4742753623188406,-0.04311594202898552,96,30,16,18,19,8,58
Fake,1844,324,14,45,101,0.5740384615384616,0.09134615384615384,105,41,10,37,15,6,67
Fake,2132,370,13,46,437,0.5324692780337941,0.0969854070660522,167,31,19,22,18,9,73
Fake,9620,1639,12,86,252,0.4766390733947987,0.124794702752718,556,207,138,121,73,54,317
Fake,5871,1008,13,78,175,0.4186929592773748,0.024322070425966524,323,125,73,71,50,40,215
Fake,5239,961,12,84,148,0.4972822245781429,0.15150907765703686,301,118,89,96,63,24,199
Fake,1757,280,8,32,68,0.4427171717171717,0.09773737373737372,116,29,13,4,3,18,51
Real,6886,1081,11,68,263,0.41211482805583904,0.056398961525366,471,153,97,37,35,23,195
Real,2872,454,10,46,93,0.3442057942057942,0.01394855144855145,206,58,36,25,8,15,85
Real,4162,671,12,58,133,0.4419051416419839,0.1019412166780588,270,89,75,28,26,21,135
Real,1780,280,9,39,73,0.607987012987013,0.2146103896103896,83,36,29,16,20,3,50
Real,9238,1394,8,69,449,0.372382207164816,0.12786511073467596,571,149,129,41,48,36,208
Real,2265,370,9,48,53,0.3379218451799097,0.01972140762463343,111,46,29,17,19,21,84
Real,2492,425,9,52,112,0.3929251700680271,0.14079097093382806,165,59,42,35,14,12,89
Real,1414,223,10,29,57,0.14015151515151514,-0.02424242424242424,112,24,7,10,4,10,37
Real,3500,564,14,55,107,0.453799420276693,-0.040641240073058256,249,63,37,43,30,17,114
Real,2794,461,10,49,111,0.5314683632865451,0.1739871660326206,173,56,30,29,21,24,87
Real,5960,956,12,65,212,0.4503548881673883,0.04509289321789321,350,124,96,43,38,31,166
Real,2385,360,12,47,79,0.4400527009222661,0.11172595520421608,156,47,20,20,11,9,68
Real,2604,397,8,45,124,0.5690943043884221,0.15357142857142858,195,43,28,17,11,17,92
Real,5828,912,9,64,216,0.4217857689448599,0.14842335694608425,358,110,82,40,35,26,180
Real,1227,205,12,29,40,0.4974431818181818,0.3451704545454546,68,23,13,23,8,6,33
Real,6956,1138,8,78,306,0.4599243668209186,0.14077971836592526,418,135,72,55,39,53,189
Real,3271,527,11,53,128,0.5057610993657505,0.13862755461592668,195,76,26,28,25,17,90
Real,2612,416,10,44,100,0.5731481481481482,0.2659259259259259,151,58,33,20,15,8,68
Real,5105,805,12,61,140,0.4085660173160172,0.1610579004329004,287,87,53,27,20,27,161
Real,3282,520,11,47,106,0.3230579605579606,0.09696368446368442,183,71,46,23,10,15,85
Real,3740,588,11,49,99,0.4059684143017477,0.08516464245630911,214,66,38,12,18,27,104
Real,3101,509,8,54,64,0.4134110787172012,0.11864784874988955,146,79,52,18,21,17,98
Real,2021,359,15,46,70,0.4154761904761904,0.08015873015873018,102,45,28,25,10,14,73
Real,6322,1026,8,78,182,0.3839156314699793,0.07758210991906643,344,140,88,35,43,27,174
Real,3269,538,12,53,101,0.383005733005733,0.052199017199017206,211,69,46,38,25,14,113
Real,1671,292,7,35,38,0.2780712530712531,0.09911957411957413,103,43,29,23,12,9,54
Real,10376,1687,9,85,336,0.4882626632626633,0.07185777185777184,615,205,133,69,83,62,348
Real,8996,1392,16,79,377,0.4252437641723357,0.03477324263038548,603,177,124,62,48,41,259
Real,4912,794,10,66,132,0.31450216450216456,0.07955898268398266,301,101,81,46,31,22,177
Real,3906,625,7,55,80,0.461468253968254,0.03656850459482038,224,75,68,18,41,21,111
Real,1618,253,12,28,64,0.2486111111111111,0.04305555555555556,106,25,17,6,5,9,47
Real,6995,1103,9,76,174,0.3877605300682224,0.08885808635808637,458,129,91,40,50,39,209
Real,7744,1283,11,76,286,0.4112673275306254,0.06651716634429404,477,202,107,63,54,29,215
Real,7297,1104,11,69,207,0.4393120393120394,0.06596027846027848,427,122,102,47,43,31,198
Real,3913,633,11,51,164,0.31,0.08005509641873278,248,82,51,17,28,8,90
Real,8219,1314,11,79,255,0.4309102934102935,0.054477418293207784,439,153,110,57,51,55,243
Real,2928,460,10,38,128,0.3852040816326531,0.13027210884353746,192,54,37,13,8,14,74
Real,6068,1014,6,62,335,0.4657983405483405,0.13846212121212126,411,157,62,40,27,20,148
Real,5809,918,8,71,211,0.4702028197790909,-0.02717367378384328,343,114,82,45,29,26,188
Real,2692,425,7,49,94,0.4767595307917889,0.11289345063538613,146,53,30,20,16,13,76
Real,6971,1087,9,77,170,0.4031261987366639,0.08819448639216082,393,118,110,47,48,40,209
Real,13697,2257,11,91,471,0.3991439662085729,0.0840194293845979,759,256,170,104,111,81,401
Real,4228,671,8,58,157,0.4719065656565656,0.1796130952380952,251,90,68,15,19,23,111
Real,2345,402,11,51,50,0.3642857142857143,0.13303571428571426,100,50,35,25,27,19,84
Real,1829,300,10,35,59,0.4162878787878788,0.18676136363636364,117,46,20,15,2,9,51
Real,2153,362,9,50,83,0.2714615095049878,0.06392810088462263,124,44,22,22,10,13,68
Real,5335,843,10,57,144,0.4664722809490253,0.08297400919493941,269,119,91,33,43,21,134
Real,3737,663,8,68,110,0.53390731292517,0.26885912698412695,181,73,48,75,31,18,132
Real,2716,428,8,45,108,0.4258928571428572,0.08735119047619049,156,51,31,17,13,23,71
Real,3915,633,11,59,183,0.38353937728937737,0.053411172161172166,238,76,56,17,15,15,90
Real,4337,668,8,49,238,0.3802645502645504,0.0724162257495591,291,95,48,19,18,14,97
Real,5809,923,12,63,207,0.40422222222222215,0.02806349206349206,337,123,80,35,28,29,152
Real,3565,574,9,56,247,0.3479850589225589,0.16252630471380472,213,67,46,21,12,17,99
Real,3753,607,9,52,102,0.42526962168266497,0.05842250141163185,220,69,46,17,15,21,97
Real,4067,664,10,55,166,0.2828221423966104,0.0070173620705535605,250,105,52,9,21,21,101
Real,8752,1398,10,78,277,0.4693059523809523,0.0765373015873016,543,185,102,89,57,59,277
Real,4153,709,10,67,189,0.4627923976608186,0.08565257841573631,244,78,43,58,36,21,148
Real,2444,428,13,59,66,0.4217589092589093,0.1046990171990172,142,64,42,47,18,13,82
Real,2967,454,9,50,71,0.4548875855327469,0.045283479960899306,195,64,31,13,7,14,66
Real,781,121,8,25,28,0.5907828282828282,0.10265151515151516,40,16,10,3,5,4,25
Real,4309,674,6,63,159,0.4412910618792972,0.08988731856378915,239,88,38,27,16,31,138
Real,3657,574,16,53,138,0.5114285714285713,0.17269841269841268,232,70,52,28,19,17,101
Real,2851,457,6,36,124,0.355239898989899,0.13948863636363634,228,58,22,9,14,11,70
Real,1866,293,11,40,62,0.355761316872428,0.03899176954732511,135,50,28,10,8,5,52
Real,2794,418,10,38,82,0.3578977272727273,0.14273042929292928,189,43,31,8,13,17,83
Real,4949,792,8,71,207,0.4408602150537633,0.049942396313364085,331,106,63,35,30,19,144
Real,4831,763,8,57,200,0.3049145299145299,0.0965811965811966,326,116,52,23,25,18,134
Real,2778,449,8,48,121,0.3668350168350169,0.039927048260381584,178,60,37,16,13,16,69
Real,1485,226,8,33,62,0.5101851851851852,-0.07685185185185185,85,26,10,6,8,8,53
Real,5895,945,9,67,187,0.3881857031857032,0.03697302697302697,388,114,80,27,33,40,178
Real,1847,302,9,38,90,0.3683035714285714,0.15119047619047618,128,38,25,28,10,5,62
Real,2802,445,9,42,77,0.4775577200577201,-0.020470779220779216,158,57,26,9,17,16,92
Real,2000,330,9,39,97,0.3368256743256743,-0.06304112554112554,143,43,16,15,13,15,59
Real,3844,593,8,51,116,0.39556277056277056,0.06547619047619048,217,83,40,36,21,26,130
Real,2950,504,10,54,79,0.4602941176470589,0.2268048128342246,168,78,39,28,13,26,104
